bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta
1752,963.05,61271.19,61490,-424.5,212.2,1.646
1753,963.6,61318.93,61539.4,-430.6,211.2,1.604
1754,964.15,61367.92,61587.43333,-427.4,211.7,1.638
1755,964.7,61415.91,61635.46667,-423.4,212.4,1.724
1756,965.25,61461.53,61683.5,-421.7,212.6,1.71
1757,965.8,61507.53,61731.53333,-430.4,211.2,1.623
1758,966.35,61556.01,61779.56667,-428.5,211.5,1.579
1759,966.9,61605.86,61827.6,-430.5,211.2,1.554
1760,967.45,61656.52,61877.43333,-432.2,210.9,1.55
1761,968,61707.34,61927.26667,-427.1,211.7,1.615
1762,968.55,61756.12,61977.1,-425.7,212,1.641
1763,969.1,61804.14,62026.46667,-429.8,211.3,1.571
1764,969.65,61854.32,62075.83333,-433.7,210.7,1.542
1765,970.2,61905.46,62125.2,-425.5,212,1.602
1766,970.75,61954.7,62174.06667,-429.8,211.3,1.606
1767,971.3,62003.83,62222.93333,-428.1,211.6,1.594
1768,971.85,62053.36,62271.8,-429.5,211.3,1.577
1769,972.4,62103.43,62321.9,-430.9,211.1,1.547
1770,972.95,62154.48,62372,-431.3,211.1,1.547
1771,973.5,62205.55,62422.1,-429,211.4,1.535
1772,974.05,62257.05,62473.83333,-435.7,210.3,1.479
1773,974.6,62310.51,62525.56667,-432.6,210.8,1.504
1774,975.15,62363.1,62577.3,-428.7,211.5,1.555
1775,975.7,62413.98,62628.43333,-431.6,211,1.529
1776,976.25,62465.75,62679.56667,-433.6,210.7,1.493
1777,976.8,62518.77,62730.7,-432.1,210.9,1.511
1778,977.35,62571.2,62782.2,-430.5,211.2,1.532
1779,977.9,62622.91,62833.7,-432.7,210.8,1.502
1780,978.45,62675.68,62885.2,-433.6,210.7,1.47
1781,979,62729.62,62939.8,-437.2,210.1,1.399
1782,979.55,62786.31,62994.4,-436.3,210.2,1.4
1783,980.1,62842.99,63049,-440.7,209.5,1.344
1784,980.65,62902.05,63104.9,-436,210.3,1.404
1785,981.2,62958.61,63160.8,-434.6,210.5,1.44
1786,981.75,63013.77,63216.7,-435.3,210.4,1.434
1787,982.3,63069.18,63272.36667,-436.1,210.2,1.411
1788,982.85,63125.52,63328.03333,-438.6,209.8,1.366
1789,983.4,63183.74,63383.7,-440.2,209.6,1.33
1790,983.95,63243.56,63439.26667,-438.4,209.9,1.392
1791,984.5,63300.73,63494.83333,-430.4,211.2,1.46
1792,985.05,63355.27,63550.4,-440.5,209.5,1.363
1793,985.6,63413.71,63609.3,-440.4,209.5,1.321
1794,986.15,63474.03,63668.2,-440.1,209.6,1.327
1795,986.7,63534.1,63727.1,-438.2,209.9,1.371
1796,987.25,63592.26,63785.4,-436.4,210.2,1.381
1797,987.8,63650.02,63843.7,-442.1,209.3,1.297
1798,988.35,63711.55,63902,-443.9,209,1.27
1799,988.9,63774.4,63962.06667,-438.6,209.8,1.343
